event-name,event-link,event-logo,event-start-date,event-end-date,event-mode,event-location
cuHacking,http://2021.cuhacking.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/157/139/thumb/Profile_Logo.png?1608680913,2021-01-29,2021-01-31,DIGITAL,"Everywhere, Worldwide"
Fashion Tech Hackathon,https://www.kent.edu/fashion/fashiontech-hackathon,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/180/562/thumb/fth2021-logo-sq100.jpg?1610637905,2021-01-29,2021-01-31,DIGITAL,"Everywhere, Worldwide"
Hack APAC,https://organize.mlh.io/participants/events/6396-hack-apac,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/181/334/thumb/Hack-APAC_mlh-event-title.png?1610708484,2021-01-29,2021-01-31,DIGITAL,"Everywhere, Worldwide"
Hoya Hacks,http://hoyahacks.georgetown.domains/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/601/thumb/fg.png?1599674107,2021-01-29,2021-01-31,DIGITAL,"Everywhere, Worldwide"
McHacks,https://mchacks.ca/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/001/455/thumb/mchacks-square.png?1610567954,2021-01-29,2021-01-31,DIGITAL,"Everywhere, Worldwide"
SwampHacks,https://2021.swamphacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/157/140/thumb/MLH_page_logo3.png?1608681064,2021-01-29,2021-01-31,DIGITAL,"Everywhere, Worldwide"
CUhackit,https://cuhack.it/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/149/514/thumb/CUhackitPNGLogo.png?1608151249,2021-01-30,2021-01-31,DIGITAL,"Everywhere, Worldwide"
HackViolet,https://www.hackviolet.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/141/949/thumb/Screen_Shot_2020-12-07_at_10.25.11_AM.png?1607358398,2021-01-30,2021-01-31,DIGITAL,"Everywhere, Worldwide"
TAMUhack,https://tamuhack.com/th,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/157/133/thumb/thlogo.jpg?1608679604,2021-01-30,2021-01-31,DIGITAL,"Everywhere, Worldwide"
Black Wings Hacks,https://rewritingthecode.org/black-wings-hacks/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/713/thumb/MHL_logo_icon_100x100_v1.jpg?1610571024,2021-02-05,2021-02-07,DIGITAL,"Everywhere, Worldwide"
Hackatown,https://hackatown.io/#/en,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/149/554/thumb/hx_logo_with_bg.png?1607983741,2021-02-05,2021-02-07,DIGITAL,"Everywhere, Worldwide"
Hacklytics ,https://hacklytics.io/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/101/006/thumb/square-logo.png?1604421128,2021-02-05,2021-02-07,DIGITAL,"Everywhere, Online"
Hackville 2021,https://hackville.io,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/697/thumb/logo_%282%29.jpg?1610569391,2021-02-05,2021-02-07,DIGITAL,"Everywhere, Worldwide"
Impractical Hackers,https://organize.mlh.io/participants/events/6397-impractical-hackers,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/181/377/thumb/Impractical-Hackers_mlh-event-title.png?1610709802,2021-02-05,2021-02-07,DIGITAL,"Everywhere, Worldwide"
MacHacks,https://machacks.ca,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/717/thumb/machacks-logo-colour.png?1610571217,2021-02-05,2021-02-07,DIGITAL,"Everywhere, Worldwide"
uOttaHack,https://2021.uottahack.ca/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/699/thumb/profile_picture_3x.png?1610570207,2021-02-05,2021-02-07,DIGITAL,"Everywhere, Worldwide"
Hack BU 2021,https://2021s.hackbu.org/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/705/thumb/hackbu_logo_square.png?1610570566,2021-02-06,2021-02-07,DIGITAL,"Everywhere, Worldwide"
Hacklahoma,https://2021.hacklahoma.org,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/720/thumb/18DD309A-B643-4BD5-B266-BCBB2594021F.png?1610571382,2021-02-06,2021-02-07,DIGITAL,"Everywhere, Worldwide"
RoyalHackaway,https://royalhackaway.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/709/thumb/Untitled_design__1_.png?1611061123,2021-02-06,2021-02-07,DIGITAL,"Everywhere, Worldwide"
Hackthrob,https://organize.mlh.io/participants/events/6413-hackthrob,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/183/604/thumb/Hackthrob_mlh-event-title.png?1610900021,2021-02-12,2021-02-14,DIGITAL,"Everywhere, Worldwide"
Calgary Hacks,http://calgaryhacks.ca/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/711/thumb/chbox21.png?1610570926,2021-02-13,2021-02-14,DIGITAL,"Everywhere, Worldwide"
GunnHacks 7.0,https://www.gunnhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/179/707/thumb/logo.png?1610570710,2021-02-13,2021-02-14,DIGITAL,"Everywhere, Worldwide"
